company_name,official_url,form_url,form_type,sales_prohibited,captcha,login_required,fields_summary,notes
株式会社フォーリーフ製薬,,,site_not_found,unclear,unclear,unclear,,"No official company website found; only registry/directory listings (houjin.jp, gbiz, baseconnect) which list no website URL. Address confirmed as Fukuoka-shi Sawara-ku Kamo 2-5-35-4."
株式会社ネオビス,https://neobis.jp/,https://neobis.jp/contact/,general_inquiry,no,yes,no,"name(お名前), furigana, phone, postal code, prefecture dropdown (all 47), city dropdown, street address, email, email-confirm, inquiry message textarea, privacy-policy consent checkbox","Address confirmed Kitakyushu-shi Yahatanishi-ku, matches Fukuoka region. reCAPTCHA badge noted at bottom of form (Google reCAPTCHA protection text present). No sales-prohibition wording found on page."
株式会社アクアプロデュース,https://piel.co.jp/,https://piel.co.jp/contact/,no_form_found,no,no,no,,"Contact page (お問い合わせ) exists but has no web form fields, only lists email (info@piel.co.jp) and phone number (0120-760-389). Business is membership-based esthetic/mail-order (会員制), FAQ mentions no aggressive solicitation practiced by them but no explicit ban on solicitation from outside businesses."
株式会社ＲＥＭｏＮ,https://kenkou-remon.jp/,,no_form_found,unclear,no,no,,"Contact page (qa.html) has no web form, only lists phone (0120-510-308) and fax. Address matches Hakata-ku Hakata-eki-higashi 2-9-25."
株式会社ナチュラルサポート,http://www.natural-support.net/,http://www.natural-support.net/contactus/index.html,general_inquiry,no,no,no,"name(required), prefecture dropdown, address, phone, email(required), inquiry-type dropdown [商品に関するお問合せ, 販売に関する資料請求, 販売に関するお問合せ, 質問・感想・ご意見・その他, OEMに関するお問合わせ], comment textarea(required)","Old-style (2004-era, http only) shopping/company site. Copyright footer confirms NATURAL SUPPORT CO LTD. No CAPTCHA detected in form inputs. No sales-prohibition wording found."
ゴールドプリズム株式会社,https://www.g-prism.com/,https://www.g-prism.com/contact,general_inquiry,no,no,no,"name, email, message textarea, submit button (送信する)","Address confirmed Fukuoka-shi Higashi-ku Hakozaki 2-10-8. Business: real estate + EC/物販業. Simple minimal contact form, no captcha detected."
有限会社グリーンメール,,,site_not_found,unclear,unclear,unclear,,"No official website confidently identified. Search results only surfaced an unrelated 株式会社グリーンメール (air conditioning cleaning/repair service in Chuo-ku Tenjin), not a cosmetics/health-food company, and no directory listed a website URL for the target company."
有限会社ビューティプランニング,,,site_not_found,unclear,unclear,unclear,,"No official company website found via search. Address confirmed Kitakyushu-shi Tododa-ku Asao 1-5-1, cosmetics retail (093-881-9390), but only directory/listing pages (itp.ne.jp, ekiten, mapion, gbiz) appeared, none linking to an own-domain site."
株式会社Ｊｏｙプラン,https://www.joy-plan.com/,https://www.joy-plan.com/contact.php,general_inquiry,no,no,no,"subject dropdown [ご注文・決済について, 商品について, 販売代行について（会員登録必須）, 会員登録・退会について, その他お問い合わせ], company name, department, name, email, phone(3-part), fax(3-part), homepage URL, postal code(2-part) with address-lookup button, prefecture dropdown, address, inquiry content textarea","B2B wholesale esthetic/beauty products distributor, address Chuo-ku Roppponmatsu confirmed. No captcha detected in DOM. No sales-prohibition wording found."
株式会社コスメアンドシングス,https://cosmeandthings.com/,https://cosmeandthings.com/contact/,general_inquiry,no,no,no,"name(required), furigana(required), email(required), email-confirm(required), phone(required), inquiry content textarea(required), privacy-policy consent checkbox(required)","Address confirmed Chuo-ku Daimyo 1-8-12, cosmetics retail/EC. Detailed privacy policy text shown inline on page including stated use purpose 'various inquiry responses' and 'service guidance'. No captcha detected, no explicit sales-solicitation prohibition wording found."
株式会社アルソア万洋,,,site_not_found,unclear,unclear,unclear,,"Local Arsoa-brand beauty salon/distributor (multiple store locations e.g. Kurume, Ohashi) in Fukuoka-shi Minami-ku Mukono. No company-specific website found; arsoa.co.jp is the parent Arsoa Group's corporate site, not this reseller's own site."
有限会社クローバー,,,site_not_found,unclear,unclear,unclear,,"Not confidently confirmed. Search surfaced 有限会社クローバー九州 (Hakata-ku, cosmetics) and several unrelated companies named クローバー (nursing care, welfare equipment), but no exact-name match with a confirmed website/address was found."
株式会社ケンショー,https://studior-shop.com/,https://studior-shop.com/sgr/contact/,existing_customer_only,no,no,no,"name(sei/mei split), furigana(sei/mei split), postal code with lookup, prefecture dropdown, city, street/building, phone(3-part), email, email-confirm, inquiry content textarea (full-width, max 1000 chars), note asks for order number for order-related inquiries","Address confirmed via tokushoho page: Chuo-ku Daimyo 1-12-49 (STUDIO R esthetic salon/EC shop). Contact form is oriented toward existing shop customers/orders (asks for order number) rather than general business inquiries, but no explicit restriction blocking other inquiries. No captcha detected."
バイオアンチエイジング株式会社,https://bio-antiageing.co.jp/,https://shop.bio-antiageing.co.jp/contact/index,existing_customer_only,no,yes,no,"name, postal code, prefecture dropdown, address, phone, email, email-confirmation, order number, inquiry-kind dropdown [商品について, 使い方について, 定期販売について, その他, ショップチャンネルについて, 退会依頼], content textarea, privacy-policy agreement, reCAPTCHA","Placenta cosmetics maker, address Hakata-ku Kawabatamachi confirmed. Contact form is EC/shop-customer support oriented (order number, subscription cancellation options) rather than general business inquiry. reCAPTCHA field (g-recaptcha-response) present in form DOM."
株式会社ＩＣＲ　ＪＡＰＡＮ　ＳＰＴ,https://icr-japan-spt.com/,https://icr-japan-spt.com/contact.html,general_inquiry,no,no,no,"company name(貴社名), name, furigana, postal code, address, phone, email, inquiry content textarea, privacy-policy consent checkbox","Cosmetics/beauty-equipment/supplement wholesaler in Onojo-shi. Company-name field present suggests B2B-friendly general inquiry form. No captcha detected, no sales-prohibition wording found."
株式会社黎明,https://siosengan.com/,https://siosengan.com/Form/Inquiry/InquiryInput.aspx,existing_customer_only,no,no,no,"inquiry-category dropdown [商品について, 注文・お届けについて, サイトの利用方法について, オンラインカウンセリング, その他のお問い合わせ], inquiry text, name, name-kana, email, email-confirm, phone",Address confirmed Hakata-ku Hakata-ekimae 3-9-14 Foro Hakata Bldg 6F (about page). EC shop for salt facial wash brand REIMEI; contact form is shop/customer oriented but includes catch-all 'その他' category. No captcha detected in DOM.
ＭＩＲＡＮＥＳＴ株式会社,https://miranest.jp/,https://www.miranest.jp/contact/,other,unclear,yes,no,"Contact hub splits into 3 dedicated forms: (1) Business/wholesale application (/contact/wholesale/) - multi-step terms-agreement checkboxes for salons/pet shops wanting to stock products, explicitly bans resale on Amazon/Rakuten/Yahoo/Mercari, reCAPTCHA present; (2) Press/media inquiries (/contact/btob/); (3) Customer product questions (/contact/customers)","Company address Chuo-ku Imaizumi 1-20-2 confirmed. Pet-care brand (bird's-nest supplements) under M-Style Japan Corp, borderline fit for cosmetics/health-food category. No single general-purpose inquiry form; all paths are purpose-specific. reCAPTCHA (g-recaptcha-response) present on wholesale/press forms."
株式会社トライアングル,,,site_not_found,unclear,unclear,unclear,,"Multiple unrelated companies share this exact name (a Itoshima-shi/Tenjin staffing/temp-agency 株式会社トライアングル; a similarly-named but differently-spelled 株式会社TRYANGLE&CO. beauty-equipment maker; tri-angle.co.jp hair/beauty marketing firm). Could not confidently confirm which, if any, corresponds to the target company on this Fukuoka/Oita cosmetics list, so left blank per instructions."
合同会社Ａｒｉｅｓ　Ｈｉｒｏｍｉ,https://arieshiromi.com/,,site_not_found,unclear,unclear,unclear,,"Company confirmed via registry/press (cosmetics import/sales, address Sawara-ku Muromi 1-28-7) but both its own-domain site (arieshiromi.com, DNS does not resolve) and its BASE shop (arieshiromi.base.shop, redirects to generic BASE homepage, shop appears closed) were unreachable at time of research."
株式会社ＬＣＲ,https://awanotoki.com/,https://awanotoki.com/contact/,general_inquiry,no,yes,no,"name, phone, email, inquiry content textarea (WordPress Contact Form 7 with reCAPTCHA)","Additive-free soap manufacturer / OEM, address Onojo-shi Ogasagawa 5-7-4 confirmed on company page. reCAPTCHA field present (_wpcf7_recaptcha_response, g-recaptcha-response). No sales-prohibition wording found."
ｉＸＩＮＡ株式会社,,,site_not_found,unclear,unclear,unclear,,No official website found. Address confirmed Chuo-ku Yakuin 4-5-2 (cosmetics/foundation planning and sales) via directory listings only; no own-domain site surfaced in search.
株式会社酵素オンライン,https://zenlife.jp/,https://zenlife.jp/pages/contact,no_form_found,no,no,no,,"Operating company confirmed via 会社概要 page (株式会社酵素オンライン, Kitakyushu-shi Yahatanishi-ku Hikino 1-12-8). Contact page lists only email (support@zenlife.jp) and toll-free phone (0120-00-7510); the only input field present is a newsletter-signup email box, not a full inquiry form."
株式会社ＯＲＡＲＥ,https://orarekk.com/,https://orarekk.com/pages/contact,general_inquiry,no,no,no,"name, email(required), phone, comment/message textarea, submit button (Shopify native contact form)","Natural soap manufacturer, address Chuo-ku Kusagae 1-4-34-401 confirmed via registry. No captcha detected, no sales-prohibition wording found."
株式会社プレシャススタイル,http://precious-style.com/,http://precious-style.com/contact.html,general_inquiry,no,no,no,"name(required), phone(required), email(required), email-confirm(required), inquiry content textarea","Toothpaste gel (Ture) maker developed with dental specialist, address Kitakyushu-shi Yahatanishi-ku Asakawa 2-18-10-311 shown on page footer matching search results. Old-style form (http only), no captcha detected."
株式会社ゆい,https://www.yui1.co.jp/,https://www.yui1.co.jp/contact/,general_inquiry,no,no,no,"name(sei/mei split, required), furigana(sei/mei split, required), postal code with lookup, prefecture dropdown, address(2 lines), phone(required), email(2-part input, required), inquiry content textarea(required)","Additive-free skincare/soap brand, address Hakata-ku Hakata-ekimae 3-4-8 confirmed. No captcha detected, no sales-prohibition wording found."
株式会社Ｅｒｉｃｅ,https://erice-japan.com/,,site_not_found,unclear,unclear,unclear,,"Company confirmed via press releases (cosmetics/health-food planning, Chuo-ku Yakuin 3-13-11-2F, contact email inquiry@erice-japan.com) and official EC site name 'Erice公式通販サイト' at erice-japan.com, but the domain does not currently resolve (DNS NXDOMAIN) via both browser navigation and WebFetch, so the form could not be inspected."
Ｂ・Ｆ・Ｃコーポレーション株式会社,,,site_not_found,unclear,unclear,unclear,,"No official website found. Search only surfaced a similarly-named but differently-ordered 株式会社C・B・Fコーポレーション (Hakata-ku, furusato-nozei receivables management, established 2022) with no website of its own either; could not confirm this is the same company as target 'B・F・C' (letter order differs), so left blank."
株式会社湯屋の手土産,https://yuyanotemiyage.co.jp/,https://carr.shop-pro.jp/customer/inquiries/new,general_inquiry,no,yes,no,"name, email, email-confirm, inquiry title, individual/corporate radio, company name, company name furigana, position/department, contact person name(required), contact person furigana, postal code, address(required), phone(required), fax, inquiry content(required), reCAPTCHA. Note explicitly states bulk-purchase (大量購入) inquiries also welcome here.",Address confirmed Oita-shi Kamimunakata 1847-1 (spun off from parent company Carryin Corp in 2019). Form is accessible without login despite URL path containing /customer/. reCAPTCHA present. No sales-prohibition wording found.
未来の美ラボ株式会社,https://mirainobilabo.jp/,,no_form_found,no,no,no,,Address confirmed Chuo-ku Tani 1-12-37 Roppponmatsu US Bldg 2F (tokushoho page). No contact page/form found on site (no お問い合わせ nav link); tokushoho page lists only phone (0120-462-348) and email (info@mirainobilabo.jp). Site formerly operated as 株式会社アネロット (renamed 2024).
株式会社ミセス・コーポレーション,http://misesu-corporation.com/,,no_form_found,unclear,no,no,,"Hair salon chain (Kurume/Hakata/Chikushino/Yame), address Kurume-shi Tenjinmachi 34-1. Only a mailto: link (misesu0942@gmail.com) for contact, no web form. Site also has a separate recruitment page (/recruit/) distinct from the contact link."
有限会社菊水薬局,https://kikusui-yakkyoku.com/,,no_form_found,unclear,unclear,unclear,,"Local pharmacy chain (Minami-ku Yanase / Roji, Fukuoka-shi), blog-style old site with no contact link or form found anywhere in navigation, and no phone/email displayed on homepage either."
株式会社フェイス,,,site_not_found,unclear,unclear,unclear,,"Extremely common company name; found at least 5 distinct gBizINFO-registered entities named 株式会社フェイス in Fukuoka (Kitakyushu Kokuraminami, Yahatanishi, Kasuga-shi) plus the large national 'Faith Group' (Osaka HQ, unrelated faith.co.jp/faith-jpn.co.jp mobile-phone retailer). Could not confidently identify which corresponds to the target cosmetics/beauty company, so left blank."
Ｚｅａｌａｎｄ　ＢＩＦＵ株式会社,http://zealandbifu.com/,https://cp.zealandbifu.com/(via zealandbifu.com/contact redirect),existing_customer_only,no,no,no,"name, postal code, prefecture dropdown, address, phone, email, email-confirm, order number, inquiry-kind dropdown [商品について, ショップについて, 定期販売について, 支払い方法変更について, 住所変更について], content textarea, privacy policy text","Apricot-kernel-oil (アンミオイル) cosmetics brand, address Chuo-ku Tenjin 4-4-11 confirmed. Contact form is entirely shop/order-management oriented (no general/other catch-all option), so classified as existing-customer only. No captcha detected."
株式会社元気生活,https://genki-seikatsu.com/,http://genki-seikatsu.com/script/mailform/contact/,general_inquiry,no,no,no,"inquiry-category dropdown [購入前(pre-purchase), 購入後(post-purchase), その他(other)], name(sei/mei), furigana(sei/mei), email, email-confirm, phone, content textarea(required), age, gender radio, postal code, prefecture dropdown, address, fax","Health-food mail order company, address Hakata-ku Hakata-ekihigashi 1-1-28 confirmed. Category includes pre-purchase inquiries so open to prospective/outside contacts, not just existing customers. No captcha detected. Old-style PHP form (site throws visible PHP deprecation warnings at top of page, but form itself functions)."
スニップ株式会社,https://snip-co.com/,https://snip-co.com/recruit/recruit-top/,recruitment_only,no,yes,no,"contact-method radio [メールで返信して欲しい/電話で連絡して欲しい], name, furigana, school name(学校名), postal code, address, email(required), phone(required), inquiry content(required), reCAPTCHA","Beauty salon chain (Oita/Beppu/Kitakyushu), address Oita-shi Miyoshi 2018-1 confirmed. The ONLY contact/inquiry link found sitewide (on company/about page) points to this recruitment page's application form (asks for school name, salon-visit signup); no separate general business-inquiry form exists. General phone number 097-573-5370 is listed."
株式会社ジェルデ,,,site_not_found,unclear,unclear,unclear,,"No official website found. Address Chuo-ku Maizuru 3-6-1 confirmed via registry only. Search surfaced an unrelated furniture-brand distributor site (Jielde lamps) and a job-listing page, not an own-domain company site."
モイスティーヌ福岡販売株式会社,,,site_not_found,unclear,unclear,unclear,,"Local distributor/salon operator for the Moisteane cosmetics brand (address Chuo-ku Tenjin 2-8-38). Parent brand's official site moisteane.com lists this company's salons (Fukuoka/Tenjin/Yakuin) in its salon directory, but no company-specific website of its own was found."
株式会社グレイズン,https://graidun.com/,https://graidun.com/contactus/,general_inquiry,no,yes,no,"name(required), furigana(required), phone(required), email(required), company name, address, inquiry content(required), site-terms agreement checkbox","DHC-affiliated beauty/health-food products distributor, address Sawara-ku Muromi 1-12-7 confirmed. reCAPTCHA (g-recaptcha-response) present via Contact Form 7. No sales-prohibition wording found; company-name field present suggests B2B contacts are anticipated."
株式会社ＭＡＫＥ　ＳＫＩＮ　ＬＡＢ,https://makeskinlab.com/,https://makeskinlab.shop/contact/index.php,general_inquiry,no,no,no,"name(sei/mei split, required), furigana(sei/mei split, required), postal code(optional) with auto-address-lookup, prefecture dropdown, city/town, building, phone(optional), email(required, 2-part), inquiry content(required, max 1000 full-width chars). Note requests order number+name for order-related queries.","Skincare (pore-cleansing) brand, address Chuo-ku Keigo 2-2-23-803 confirmed. Main marketing site (makeskinlab.com) had no contact link; actual form lives on the EC shop subdomain (makeskinlab.shop). No captcha detected."
オーキ製薬株式会社,https://www.oki-pharm.co.jp/,https://www.oki-pharm.co.jp/contact,general_inquiry,no,no,no,"company name, name(required), email(required), phone(required), inquiry content(required)","Pharmaceutical/healthcare products company, address Hakata-ku Hakata-ekimae 4-13-18 confirmed. Company-name field present, simple modern form, no captcha detected, no sales-prohibition wording found."
株式会社ローズ・コーポレーション,http://www.rosetomonokai.biz/,http://www.rosetomonokai.biz/contact.html,general_inquiry,no,no,no,"name(required), email(required), phone, inquiry content textarea(required)","Cosmetics/health-food/beauty-equipment wholesaler+network-marketing, address Yahatanishi-ku Migake 1-14-9 confirmed. Simple old-style form, no captcha detected, no sales-prohibition wording found."
株式会社ｌｏａｍｏｎｄ,,,site_not_found,unclear,unclear,unclear,,"Could not confidently identify. Search surfaced only unrelated similarly-spelled companies (LOMA car rental, Le monde hair salons, LeMoN e-commerce), none confirmed as 'loamond' with a matching Fukuoka/Oita cosmetics business description."
有限会社宮崎木材店,,,site_not_found,unclear,unclear,unclear,,No official website or registry listing surfaced in search at all (name literally means 'Miyazaki Lumber Store'); could not confirm any web presence.
ＥＮＰＬＡＮＡ　ＧＲＯＵＰ株式会社,,,site_not_found,unclear,unclear,unclear,,"Newly established company (Dec 2024), address Minami-ku Roji 3-26-59-6 confirmed via registry, but no website found in any search result."
株式会社Ｙｕ－ｋｉ,https://yu-ki-group.co.jp/,https://www.yu-ki-group.co.jp/contact-us/,general_inquiry,no,no,no,"name(required), email(required), message textarea","Natural cosmetics brand for menopausal skin, address Itoshima-shi Takata 4-1-15 confirmed. Minimal WordPress form (Fluent Forms style), no captcha detected, no sales-prohibition wording found."
特定非営利活動法人日本セラピューティック・ケア協会,https://therapy-care.net/,https://therapy-care.net/form/,other,no,no,no,"name(required), organization name, phone(required), desired venue(required), number of attendees, desired content, email(required)","Certified NPO (therapeutic care/wellness education), HQ Dazaifu-shi Gojo. The only form found is a 'lecture/workshop request form' (講座・講習会の依頼フォーム) for booking speakers, not a general business-inquiry form. General email listed separately: info@therapy-care.net. No captcha detected."
株式会社ゼンシン,http://zen-shin.jp/,,no_form_found,unclear,unclear,unclear,,"Cosmetics/health-food OEM manufacturer, address confirmed (HQ: Chikushino-shi Harisurichuo 2-17-1; R&D center: Kurume-shi Hyakunen-koen 1-1). Contact page only shows phone number (092-922-7556) and a WordPress search box; no actual inquiry form fields present despite having a dedicated /contact/ page."
株式会社ポードゥソワ,,,site_not_found,unclear,unclear,unclear,,"Basic cosmetics (skin milk/serum) seller, address Hakata-ku Hakata-ekimae 1-31-17 confirmed via registry, and products are resold on Mercari, but no official company website was found in search results."
アフェクションインターナショナル株式会社,https://soterh.co.jp/,https://www.soterh.co.jp/distribution/,other,no,no,no,"store/corporate name(required), postal code+address+prefecture(required), phone(required), business type e.g. esthetic salon/hair salon/clinic(required), name+furigana(required), email(required), phone(required), URL for business verification (HP/Hot Pepper/SNS)(required), shipping postal code+address(required), how-you-heard-about-us checkboxes, privacy-policy checkbox","Beauty-serum (Soterh) maker/wholesaler, address Kokurakita-ku Ohata 3-7-55 confirmed. The only form found is a 'become a retailer / first order' application form for salons/clinics wanting to stock the product (asks to verify the business is real), not a general open inquiry form. General phone listed: 0120-210-419."
株式会社Ｒａｄｉｏ,https://radio-hair.com/,,no_form_found,unclear,unclear,no,,"Beauty salon chain (hair/eyelash/relaxation), Omuta-shi/Chikugo area, address Omuta-shi Hinodemachi 1-1-3 confirmed on company page. Site has no general inquiry/contact form; only salon booking/reservation links (/reserve) and a recruitment page (/company/recruit) were found."
